id_siswa,nama_siswa,email,tingkat_pendidikan,kelas_tingkat,provinsi,tanggal_gabung
SPN0254,Riska Wahyuni,riska.wahyuni254@pintarnusa.id,SMA,12,Jawa Tengah,2023-08-12
SPN0255,Mira Safitri,mira.safitri255@pintarnusa.id,SMP,9,Jawa Timur,2023-03-30
SPN0256,Rahma Fadilah,rahma.fadilah256@pintarnusa.id,SMA,11,Sumatera Utara,2023-03-05
SPN0257,Hadi Budiman,hadi.budiman257@pintarnusa.id,SMA,11,Nusa Tenggara Barat,2023-08-10
SPN0258,Tara Putranto,tara.putranto258@pintarnusa.id,SMA,10,Riau,2023-06-15
SPN0259,Tika Yulianto,tika.yulianto259@pintarnusa.id,SMP,7,Sumatera Utara,2023-09-16
SPN0260,Lina Nuraini,lina.nuraini260@pintarnusa.id,SMA,11,Jawa Barat,2025-12-22
SPN0261,Nanda Darmawan,nanda.darmawan261@pintarnusa.id,SMA,10,Sumatera Selatan,2023-08-23
SPN0262,Ulfah Sulistyo,ulfah.sulistyo262@pintarnusa.id,SMP,8,Papua Barat,2025-07-13
SPN0263,Fitri Prasetyo,fitri.prasetyo263@pintarnusa.id,SMA,11,Jawa Barat,2025-03-27
SPN0264,Irma Adriani,irma.adriani264@pintarnusa.id,SMP,8,Banten,2025-05-24
SPN0265,Sinta Fadilah,sinta.fadilah265@pintarnusa.id,SMA,11,Sulawesi Utara,2023-11-09
SPN0266,Fira Budiman,fira.budiman266@pintarnusa.id,SMP,7,Sumatera Barat,2023-06-24
SPN0267,Lestari Suryadi,lestari.suryadi267@pintarnusa.id,SMP,9,Riau,2025-02-02
SPN0268,Rina Hermawan,rina.hermawan268@pintarnusa.id,SMP,9,Riau,2024-11-06
SPN0269,Ayu Kurniawan,ayu.kurniawan269@pintarnusa.id,SMA,11,Jawa Tengah,2025-05-16
SPN0270,Nabila Handoko,nabila.handoko270@pintarnusa.id,SMA,12,Jawa Timur,2024-10-01
SPN0271,Yuni Permana,yuni.permana271@pintarnusa.id,SMP,7,Kalimantan Selatan,2025-09-14
SPN0272,Endang Permana,endang.permana272@pintarnusa.id,SMA,12,Kalimantan Selatan,2025-01-22
SPN0273,Oktavia Tanjung,oktavia.tanjung273@pintarnusa.id,SMA,12,Sulawesi Selatan,2024-04-08
SPN0274,Jasmine Hermawan,jasmine.hermawan274@pintarnusa.id,SMP,9,Bali,2024-07-01
SPN0275,Dewi Wibowo,dewi.wibowo275@pintarnusa.id,SMA,12,Banten,2024-09-24
SPN0276,Vera Fitriani,vera.fitriani276@pintarnusa.id,SMP,7,Banten,2023-10-21
SPN0277,Gina Fadilah,gina.fadilah277@pintarnusa.id,SMA,10,Kalimantan Selatan,2023-10-18
SPN0278,Syifa Iskandar,syifa.iskandar278@pintarnusa.id,SMP,7,Lampung,2025-12-22
SPN0279,Dian Wibisono,dian.wibisono279@pintarnusa.id,SMA,11,Riau,2024-11-29
SPN0280,Vina Kusuma,vina.kusuma280@pintarnusa.id,SMA,12,Kalimantan Selatan,2024-10-26
SPN0281,Bagus Prabowo,bagus.prabowo281@pintarnusa.id,SMP,7,Sulawesi Tengah,2023-11-15
SPN0282,Vina Tanjung,vina.tanjung282@pintarnusa.id,SMP,9,Jawa Tengah,2023-06-17
SPN0283,Kurnia Wahyuni,kurnia.wahyuni283@pintarnusa.id,SMA,11,Jawa Tengah,2025-06-24
SPN0284,Irma Maharani,irma.maharani284@pintarnusa.id,SMP,9,Jawa Barat,2023-08-22
SPN0285,Widya Suryadi,widya.suryadi285@pintarnusa.id,SMP,8,Sumatera Utara,2025-09-23
SPN0286,Arif Fadilah,arif.fadilah286@pintarnusa.id,SMA,10,Jawa Barat,2024-03-27
SPN0287,Fauzi Yulianto,fauzi.yulianto287@pintarnusa.id,SMP,7,DKI Jakarta,2024-02-23
SPN0288,Putri Saputra,putri.saputra288@pintarnusa.id,SMP,8,DI Yogyakarta,2024-08-15
SPN0289,Tika Kurniawan,tika.kurniawan289@pintarnusa.id,SMP,8,Jawa Timur,2025-05-31
SPN0290,Yusuf Hidayat,yusuf.hidayat290@pintarnusa.id,SMA,12,Sumatera Utara,2024-04-16
SPN0291,Wulan Hermawan,wulan.hermawan291@pintarnusa.id,SMA,10,Jawa Barat,2025-03-24
SPN0292,Syifa Pratama,syifa.pratama292@pintarnusa.id,SMA,10,Jawa Barat,2025-07-30
SPN0293,Joko Ramadhan,joko.ramadhan293@pintarnusa.id,SMA,12,Kalimantan Barat,2025-04-08
SPN0294,Luki Iskandar,luki.iskandar294@pintarnusa.id,SMA,11,Jawa Tengah,2023-08-24
SPN0295,Gilang Susanto,gilang.susanto295@pintarnusa.id,SMA,10,Jawa Barat,2025-07-31
SPN0296,Hasan Kusuma,hasan.kusuma296@pintarnusa.id,SMP,8,Banten,2023-08-05
SPN0297,Hendra Suryadi,hendra.suryadi297@pintarnusa.id,SMA,12,Kalimantan Timur,2023-06-11
SPN0298,Fauzi Hakim,fauzi.hakim298@pintarnusa.id,SMA,10,Jawa Timur,2024-11-13
SPN0299,Bagus Nugroho,bagus.nugroho299@pintarnusa.id,SMP,9,Sumatera Selatan,2023-08-22
SPN0300,Arif Safitri,arif.safitri300@pintarnusa.id,SMP,8,Jawa Barat,2024-12-20
